Output,Input,
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications. Could this be Vitiligo?""",
Vitiligo,"""I've patchy skin""",
Scabies,"""Doctor, I've noticed these small, red bumps on my wrists and elbows. They itch like crazy, and I'm starting to worry about bed bugs or something. Could it be something more serious?""",
Vitiligo,"""Doctor, I noticed a pale patch around my knee recently, and it looks different from any sunspots I've had before. Is it something I should be concerned about? Should I use any special creams or lotions?""",
Hives (Urticaria),"Hives, also known as urticaria, typically present as raised, itchy welts on the skin, varying in size and shape. These welts are often red or pink and may appear suddenly, disappearing within hours or persisting for days. They can occur singularly or cluster together, spreading across different parts of the body. Alongside the skin rash, hives may cause a burning or stinging sensation and occasionally trigger swelling of the lips, eyelids, or throat, leading to difficulty breathing or swallowing. In some cases, hives can be accompanied by fever, fatigue, or digestive issues, although these systemic symptoms are less common.",
Hives (Urticaria),"""These red bumps keep appearing and disappearing; it's so frustrating.""",
Hives (Urticaria),"""The itching is unbearable; I feel like my skin is on fire.""",
Hives (Urticaria),"""I?e never had anything like this before; my skin is covered in welts.""",
Hives (Urticaria),"""I think I might be allergic to something; these bumps are so itchy!""",
Hives (Urticaria),"""These hives are making me anxious; they seem to change shape and size.""",
Hives (Urticaria),"""I can? sleep because the itching keeps waking me up at night.""",
Hives (Urticaria),"""I have these strange bumps that appear suddenly and disappear just as fast.""",
Hives (Urticaria),"""My hives get worse whenever I feel stressed or anxious about something.""",
Hives (Urticaria),"""I can't figure out what's causing these hives; they seem to pop up randomly.""",
Hives (Urticaria),"""The itchy spots on my skin seem to move around; it? really weird.""",
Hives (Urticaria),"""The redness and swelling from the hives make me self-conscious about my skin.""",
Hives (Urticaria),"""I have these itchy bumps on my back that seem to get bigger over time.""",
Hives (Urticaria),"""I can? wear my favorite clothes because they irritate my hives even more.""",
Hives (Urticaria),"""I?e started avoiding certain foods because I? afraid of triggering the hives.""",
Hives (Urticaria),"""The hives on my legs make it hard to concentrate at work; I just want to scratch!""",
Hives (Urticaria),"""I? concerned about how long these hives will last; they seem to be persistent.""",
Hives (Urticaria),"""The doctor says these hives could be caused by stress or certain medications.""",
Hives (Urticaria),"""I feel embarrassed showing my skin; the hives make it look really bad.""",
Hives (Urticaria),"""The doctor said I might need to take allergy tests to find the cause of my hives.""",
Hives (Urticaria),"""I?e noticed that my hives are worse when it? really hot outside.""",
Hives (Urticaria),"""I?e started keeping a food diary to see if certain foods trigger my hives.""",
Hives (Urticaria),"""I can? believe I? dealing with hives again; it? so annoying!""",
Hives (Urticaria),"""My friends don? understand how irritating these hives can be sometimes.""",
